annais,sexe,preusuel,rank
1921,1,RENÉ,4.0
1921,1,MARCEL,5.0
1921,1,ROGER,6.0
1921,1,LOUIS,7.0
1921,1,ROBERT,8.0
1921,1,GEORGES,9.0
1921,1,HENRI,10.0
1921,2,MARIE,1.0
1921,2,JEANNE,2.0
1921,2,MADELEINE,3.0
1921,2,SUZANNE,4.0
1921,2,YVONNE,5.0
1921,2,PAULETTE,6.0
1921,2,MARCELLE,7.0
1921,2,RENÉE,8.0
1921,2,MARGUERITE,9.0
1921,2,SIMONE,10.0
1922,1,JEAN,1.0
1922,1,ANDRÉ,2.0
1922,1,PIERRE,3.0
1922,1,RENÉ,4.0
1922,1,MARCEL,5.0
1922,1,ROGER,6.0
1922,1,ROBERT,7.0
1922,1,LOUIS,8.0
1922,1,HENRI,9.0
1922,1,GEORGES,10.0
1922,2,MARIE,1.0
1922,2,JEANNE,2.0
1922,2,MADELEINE,3.0
1922,2,SUZANNE,4.0
1922,2,YVONNE,5.0
1922,2,PAULETTE,6.0
1922,2,DENISE,7.0
1922,2,MARCELLE,8.0
1922,2,SIMONE,9.0
1922,2,MARGUERITE,10.0
1923,1,JEAN,1.0
1923,1,ANDRÉ,2.0
1923,1,PIERRE,3.0
1923,1,RENÉ,4.0
1923,1,ROGER,5.0
1923,1,MARCEL,6.0
1923,1,ROBERT,7.0
1923,1,GEORGES,8.0
1923,1,LOUIS,9.0
1923,1,HENRI,10.0
1923,2,MARIE,1.0
1923,2,JEANNE,2.0
1923,2,MADELEINE,3.0
1923,2,SUZANNE,4.0
1923,2,PAULETTE,5.0
1923,2,YVONNE,6.0
1923,2,DENISE,7.0
1923,2,ODETTE,8.0
1923,2,SIMONE,9.0
1923,2,JACQUELINE,10.0
1924,1,JEAN,1.0
1924,1,ANDRÉ,2.0
1924,1,PIERRE,3.0
1924,1,RENÉ,4.0
1924,1,ROGER,5.0
1924,1,MARCEL,6.0
1924,1,ROBERT,7.0
1924,1,LOUIS,8.0
1924,1,HENRI,9.0
1924,1,GEORGES,10.0
1924,2,MARIE,1.0
1924,2,JEANNE,2.0
1924,2,MADELEINE,3.0
1924,2,SUZANNE,4.0
1924,2,DENISE,5.0
1924,2,JACQUELINE,6.0
1924,2,ODETTE,7.0
1924,2,PAULETTE,8.0
1924,2,SIMONE,9.0
1924,2,YVONNE,10.0
1925,1,JEAN,1.0
1925,1,ANDRÉ,2.0
